Data;Pressao;Umidade;Temperatura1;Temperatura2;Precipitaçao
2021-07-18 00:09:30.487053;931.8976725010223;79.0;20.0;21.19;0.0
2021-07-18 00:24:31.011616;931.8284113255302;80.0;20.0;21.12;0.0
2021-07-18 00:39:31.010133;931.83674896449;80.0;20.0;21.1;0.0
2021-07-18 00:54:31.018102;931.8123323185987;80.0;20.0;21.07;0.0
2021-07-18 01:09:31.018831;931.6805159620964;79.0;20.0;21.01;0.0
2021-07-18 01:24:30.485552;931.681230176278;80.0;20.0;21.12;0.0
2021-07-18 01:39:31.009817;931.5450843576889;79.0;20.0;20.99;0.0
2021-07-18 01:54:31.017252;931.478820519171;80.0;20.0;20.9;0.0
2021-07-18 02:09:30.483085;931.4115946371363;80.0;20.0;20.87;0.0
2021-07-18 02:24:30.482357;931.3486971547891;80.0;19.0;20.81;0.0
2021-07-18 02:39:30.483251;931.2396868793667;80.0;19.0;20.79;0.0
2021-07-18 02:54:30.481753;931.2506912912388;80.0;19.0;20.76;0.0
2021-07-18 03:09:30.483110;931.1146018265357;80.0;19.0;20.72;0.0
2021-07-18 03:24:30.483079;931.2386005441075;79.0;19.0;20.71;0.0
2021-07-18 03:39:30.483167;931.3588995788285;79.0;19.0;20.7;0.0
2021-07-18 03:54:30.481981;931.3615693547604;79.0;19.0;20.68;0.0
2021-07-18 04:09:30.483141;931.3441205113809;80.0;19.0;20.64;0.0
2021-07-18 04:24:30.483270;931.3159957842676;79.0;19.0;20.6;0.0
2021-07-18 04:39:30.483217;931.3279989330731;79.0;19.0;20.58;0.0
2021-07-18 04:54:30.482484;931.3496353381837;79.0;19.0;20.54;0.0
2021-07-18 05:09:30.482445;931.3129029435634;79.0;19.0;20.55;0.0
2021-07-18 05:24:30.485351;931.5079461793097;79.0;19.0;20.51;0.0
2021-07-18 05:39:30.483118;931.5185857967575;80.0;19.0;20.47;0.0
2021-07-18 05:54:30.483251;931.637188545287;79.0;19.0;20.47;0.0
2021-07-18 06:09:30.483057;931.894106763001;80.0;19.0;20.46;0.0
2021-07-18 06:24:30.482406;932.1805374084958;80.0;19.0;20.4;0.0
2021-07-18 06:39:30.482883;932.2549536565227;80.0;19.0;20.37;0.0
2021-07-18 06:54:30.483337;932.4041404324784;79.0;19.0;20.34;0.0
2021-07-18 07:09:30.483209;932.5085998169936;79.0;19.0;20.32;0.0
2021-07-18 07:24:30.484683;932.6324787330451;79.0;19.0;20.31;0.0
2021-07-18 07:39:30.482526;932.7223663469931;79.0;19.0;20.31;0.0
2021-07-18 07:54:30.484069;932.87578282545;79.0;19.0;20.33;0.0
