Data;Pressao;Umidade;Temperatura1;Temperatura2;Precipitaçao
2021-08-19 09:57:28.045841;933.9832063881491;72.0;21.0;21.8;0.0
2021-08-19 09:57:31.707274;933.9216105116835;72.0;21.0;21.81;0.0
2021-08-19 10:12:28.053851;933.9095732731113;72.0;21.0;21.82;0.0
2021-08-19 10:12:31.710355;933.8640236408392;72.0;21.0;21.81;0.0
2021-08-19 10:27:28.050998;933.7692915227535;72.0;21.0;21.85;0.0
2021-08-19 10:27:31.707104;933.6872297381733;71.0;21.0;21.85;0.0
2021-08-19 10:42:28.582290;933.5690450582235;71.0;21.0;21.87;0.0
2021-08-19 10:42:32.241955;933.5576379272038;71.0;21.0;21.87;0.0
2021-08-19 10:57:28.048444;933.295424444456;70.0;21.0;21.92;0.0
2021-08-19 10:57:31.714170;933.2629465992546;69.0;21.0;21.9;0.0
2021-08-19 11:12:31.107176;933.1380221390368;69.0;21.0;21.94;0.0
2021-08-19 11:12:32.246507;933.1041950507922;69.0;21.0;21.93;0.0
2021-08-19 11:27:30.579260;932.8047611460133;68.0;21.0;21.95;0.0
2021-08-19 11:27:31.712569;932.8308850226394;69.0;21.0;21.95;0.0
2021-08-19 11:42:28.574183;932.5990840929574;71.0;21.0;21.98;0.0
2021-08-19 11:42:31.713351;932.5468345542141;68.0;21.0;21.98;0.0
2021-08-19 11:57:28.052247;932.2460029285372;67.0;21.0;22.0;0.0
2021-08-19 11:57:32.245734;932.3036201015676;68.0;21.0;22.0;0.0
2021-08-19 12:12:28.583475;931.8761405193695;67.0;21.0;22.03;0.0
2021-08-19 12:12:31.715770;931.912698168593;67.0;21.0;22.02;0.0
2021-08-19 12:27:28.580502;931.5789544576188;67.0;21.0;22.05;0.0
2021-08-19 12:27:32.242040;931.563573576314;67.0;21.0;22.04;0.0
2021-08-19 12:42:28.052020;931.4007458642092;67.0;21.0;22.14;0.0
2021-08-19 12:42:31.712909;931.3097377928545;65.0;21.0;22.11;0.0
2021-08-19 12:57:28.046891;931.0598242336554;65.0;21.0;22.19;0.0
2021-08-19 12:57:31.708990;931.0444534060308;63.0;21.0;22.18;0.0
2021-08-19 13:12:28.047049;930.8724333047373;63.0;21.0;22.21;0.0
2021-08-19 13:12:31.711292;930.7763685569427;62.0;21.0;22.19;0.0
2021-08-19 13:27:28.046993;930.5683118770066;62.0;21.0;22.46;0.0
2021-08-19 13:27:31.710546;930.51882329334;61.0;21.0;22.45;0.0
2021-08-19 13:42:28.050331;930.1239916860436;60.0;21.0;22.36;0.0
2021-08-19 13:42:34.238985;930.1541219646227;61.0;21.0;22.36;0.0
2021-08-19 13:57:28.050768;929.9532136895498;61.0;21.0;22.34;0.0
2021-08-19 13:57:31.711423;929.9469396399504;58.0;21.0;22.33;0.0
2021-08-19 14:12:28.049083;929.7838479356187;58.0;21.0;22.32;0.0
2021-08-19 14:12:34.239242;929.7310057224763;57.0;21.0;22.3;0.0
2021-08-19 14:27:28.050007;929.5629132011527;57.0;21.0;22.42;0.0
2021-08-19 14:27:31.711484;929.4876184186766;51.0;21.0;22.4;0.0
2021-08-19 14:42:28.048917;929.2267950670717;51.0;21.0;22.53;0.0
2021-08-19 14:42:31.712364;929.2750959771024;49.0;21.0;22.52;0.0
2021-08-19 14:57:28.049335;929.0046053929314;49.0;21.0;22.38;0.0
2021-08-19 14:57:31.711737;928.9685334620094;50.0;21.0;22.36;0.0
2021-08-19 15:12:28.050562;928.9100059974584;50.0;21.0;22.35;0.0
2021-08-19 15:12:31.710616;928.8423989460149;51.0;21.0;22.34;0.0
2021-08-19 15:27:28.051315;928.7397758599791;51.0;21.0;22.46;0.0
2021-08-19 15:27:31.710621;928.6835080673737;48.0;21.0;22.45;0.0
2021-08-19 15:42:30.574933;928.6437127828577;48.0;21.0;22.48;0.0
2021-08-19 15:42:31.710537;928.6283843549833;49.0;21.0;22.47;0.0
2021-08-19 15:57:28.049059;928.5430645249189;51.0;21.0;22.52;0.0
2021-08-19 15:57:31.710552;928.5462182351293;48.0;21.0;22.51;0.0
2021-08-19 16:12:28.047237;928.4939990046618;48.0;21.0;22.63;0.0
2021-08-19 16:12:31.706245;928.4471150675203;47.0;21.0;22.63;0.0
2021-08-19 16:27:28.048134;928.4891166614134;47.0;21.0;22.49;0.0
2021-08-19 16:27:34.238172;928.477775534669;48.0;21.0;22.48;0.0
2021-08-19 16:42:28.044643;928.4701126476776;48.0;21.0;22.48;0.0
2021-08-19 16:42:31.712889;928.4860292193869;49.0;21.0;22.46;0.0
2021-08-19 16:57:28.049429;928.5346329090223;48.0;21.0;22.46;0.0
2021-08-19 16:57:31.710914;928.4968437433427;48.0;21.0;22.45;0.0
2021-08-19 17:12:28.046697;928.6090707034779;48.0;21.0;22.46;0.0
2021-08-19 17:12:31.710655;928.5766870188014;48.0;21.0;22.45;0.0
2021-08-19 17:27:28.049204;928.6758433607753;48.0;21.0;22.45;0.0
2021-08-19 17:27:31.712428;928.6005692658775;48.0;21.0;22.44;0.0
2021-08-19 17:42:28.047174;928.755991252791;48.0;21.0;22.44;0.0
2021-08-19 17:42:31.713233;928.6920595935018;51.0;22.0;22.44;0.0
2021-08-19 17:57:30.575792;928.8016024375438;51.0;22.0;22.58;0.0
2021-08-19 17:57:31.720604;928.803024853232;55.0;22.0;22.57;0.0
2021-08-19 18:12:28.049201;928.8756426372258;58.0;22.0;22.69;0.0
2021-08-19 18:12:31.710560;928.8850388337175;56.0;22.0;22.68;0.0
2021-08-19 18:27:28.049211;928.9639570379369;56.0;22.0;22.77;0.0
2021-08-19 18:27:31.710853;928.9846991288542;57.0;22.0;22.77;0.0
2021-08-19 18:42:28.050519;929.0946530139465;57.0;22.0;22.81;0.0
2021-08-19 18:42:31.712071;929.1486969124412;58.0;22.0;22.8;0.0
2021-08-19 18:57:28.050247;929.1918428152416;58.0;22.0;22.85;0.0
2021-08-19 18:57:31.711040;929.2270925424277;59.0;22.0;22.84;0.0
2021-08-19 19:12:28.046894;929.3471225230386;58.0;22.0;22.81;0.0
2021-08-19 19:12:31.711659;929.3110417488722;59.0;22.0;22.8;0.0
2021-08-19 19:27:28.046949;929.4870434129117;59.0;22.0;22.77;0.0
2021-08-19 19:27:31.710633;929.4753864090043;59.0;22.0;22.76;0.0
2021-08-19 19:42:28.050165;929.5933467286892;58.0;22.0;22.8;0.0
2021-08-19 19:42:31.711582;929.5740191075479;59.0;22.0;22.79;0.0
2021-08-19 19:57:28.045227;929.6797005505354;59.0;22.0;22.89;0.0
2021-08-19 19:57:31.713091;929.6211337614642;61.0;22.0;22.88;0.0
2021-08-19 20:12:30.573793;929.7197788398702;61.0;22.0;22.91;0.0
2021-08-19 20:12:31.709866;929.6742904034772;62.0;22.0;22.89;0.0
2021-08-19 20:27:28.048761;929.7359562601797;64.0;22.0;22.93;0.0
2021-08-19 20:27:34.239479;929.8067707841473;62.0;22.0;22.93;0.0
2021-08-19 20:42:28.047111;929.9546045680394;63.0;22.0;22.97;0.0
