Data;Pressao;Umidade;Temperatura1;Temperatura2;Precipitaçao
2021-07-19 00:06:33.026616;933.2556382067451;68.0;18.0;19.83;0.0
2021-07-19 00:21:33.026551;933.251468313872;68.0;18.0;19.86;0.0
2021-07-19 00:36:33.025592;933.2609382902135;68.0;18.0;19.83;0.0
2021-07-19 00:51:33.026499;933.2745690177023;68.0;18.0;19.78;0.0
2021-07-19 01:06:33.027203;933.2632934800044;68.0;18.0;19.75;0.0
2021-07-19 01:21:33.025868;933.1189659319357;67.0;18.0;19.68;0.0
2021-07-19 01:36:33.025162;933.0041718719265;67.0;18.0;19.6;0.0
2021-07-19 01:51:33.025913;932.8370271822489;67.0;18.0;19.52;0.0
2021-07-19 02:06:33.028576;932.7003813219619;68.0;18.0;19.42;0.0
2021-07-19 02:21:33.026441;932.6892313889979;67.0;18.0;19.36;0.0
2021-07-19 02:36:33.026429;932.6281618343002;67.0;18.0;19.48;0.0
2021-07-19 02:51:33.026377;932.7996609665046;66.0;18.0;19.6;0.0
2021-07-19 03:06:33.026469;932.6613527754231;65.0;18.0;19.42;0.0
2021-07-19 03:21:33.026380;932.4689462582022;66.0;18.0;19.26;0.0
2021-07-19 03:36:33.026322;932.3897456738363;64.0;18.0;19.13;0.0
2021-07-19 03:51:33.026477;932.2556539573703;62.0;18.0;19.01;0.0
2021-07-19 04:06:33.026144;932.222698496668;61.0;18.0;18.91;0.0
2021-07-19 04:21:33.026274;932.1194490063662;61.0;18.0;18.81;0.0
2021-07-19 04:36:33.021754;932.167832530436;58.0;17.0;18.78;0.0
2021-07-19 04:51:33.024960;932.2351475791106;56.0;17.0;18.65;0.0
2021-07-19 05:06:33.025567;932.2841074876161;53.0;17.0;18.53;0.0
2021-07-19 05:21:33.025769;932.3767385634426;52.0;17.0;18.47;0.0
2021-07-19 05:36:33.027943;932.3824897673844;53.0;17.0;18.39;0.0
2021-07-19 05:51:33.028422;932.7026999072474;53.0;17.0;18.3;0.0
2021-07-19 06:06:33.022799;932.7748551281762;52.0;17.0;18.19;0.0
2021-07-19 06:21:33.026657;932.9245104587619;52.0;17.0;18.13;0.0
2021-07-19 06:36:33.026461;933.0796628076824;51.0;17.0;17.99;0.0
2021-07-19 06:51:33.026378;933.0267256901013;51.0;17.0;17.85;0.0
2021-07-19 07:06:33.026313;933.0179716507408;50.0;16.0;17.75;0.0
2021-07-19 07:21:33.026381;933.2208233670939;51.0;16.0;17.54;0.0
2021-07-19 07:36:33.026495;933.673506626627;51.0;16.0;17.62;0.0
2021-07-19 07:51:33.026236;934.0937323345842;51.0;16.0;17.66;0.0
2021-07-19 08:06:33.028527;934.1546605906649;51.0;16.0;17.68;0.0
2021-07-19 08:21:33.028390;934.3948742649559;51.0;16.0;17.57;0.0
2021-07-19 08:36:33.026316;934.5711586745621;49.0;16.0;17.63;0.0
2021-07-19 08:51:33.026711;934.6632537959972;51.0;16.0;17.79;0.0
2021-07-19 09:06:33.026543;934.6698152831693;51.0;17.0;17.73;0.0
2021-07-19 09:21:33.023334;934.6630661189822;49.0;17.0;17.74;0.0
2021-07-19 09:36:33.025824;934.545102150819;47.0;16.0;17.68;0.0
2021-07-19 09:51:33.026429;934.6813710187457;44.0;16.0;17.76;0.0
2021-07-19 10:06:33.025686;934.75802240114;46.0;17.0;17.77;0.0
2021-07-19 10:21:33.026510;934.6957156930424;51.0;17.0;17.51;0.0
2021-07-19 10:36:33.026459;934.7087258947499;43.0;16.0;17.58;0.0
2021-07-19 10:51:33.026439;934.8059079314241;44.0;16.0;17.5;0.0
2021-07-19 11:06:33.026677;934.7087421553201;45.0;16.0;17.73;0.0
2021-07-19 11:21:33.022844;934.703484816211;45.0;16.0;17.81;0.0
2021-07-19 11:36:33.027731;934.7408988798849;41.0;17.0;17.82;0.0
2021-07-19 11:51:33.026430;934.6641225197768;39.0;17.0;17.96;0.0
2021-07-19 12:06:33.026669;934.5773701399947;39.0;17.0;18.11;0.0
2021-07-19 12:21:33.023475;934.4835783702663;40.0;17.0;18.19;0.0
2021-07-19 12:36:33.026161;934.5225337044939;39.0;17.0;18.19;0.2
2021-07-19 12:51:33.026191;934.3325641630347;38.0;17.0;18.31;0.2
2021-07-19 13:06:33.026673;934.1529526316278;39.0;17.0;18.37;0.2
2021-07-19 13:21:33.028748;934.0008248686195;38.0;17.0;18.45;0.2
2021-07-19 13:36:33.026542;933.9420576860705;39.0;17.0;18.51;0.2
2021-07-19 13:51:33.025840;933.8167345246122;38.0;17.0;18.6;0.2
2021-07-19 14:06:33.025464;933.5998698335362;38.0;17.0;18.6;0.2
2021-07-19 14:21:33.026312;933.5369590905083;38.0;17.0;18.69;0.2
2021-07-19 14:36:33.026319;933.3651699494287;38.0;18.0;18.73;0.2
2021-07-19 14:51:33.025772;933.4024992633645;40.0;18.0;18.78;0.2
2021-07-19 15:06:33.025803;933.3907039351724;39.0;18.0;18.8;0.2
2021-07-19 15:21:33.026687;933.5749714304578;40.0;18.0;18.88;0.2
2021-07-19 15:36:33.028430;933.6313988970933;36.0;18.0;18.98;0.2
2021-07-19 15:51:33.025095;933.52788307896;30.0;18.0;18.9;0.2
2021-07-19 16:06:33.026604;933.6388573771849;25.0;18.0;18.82;0.2
2021-07-19 16:21:33.028620;933.6494789083201;22.0;18.0;18.76;0.2
2021-07-19 16:36:33.026478;933.6291372630667;23.0;18.0;18.71;0.2
2021-07-19 16:51:33.026311;933.8513267272401;24.0;18.0;18.67;0.2
2021-07-19 17:06:33.025590;934.0075882972183;27.0;18.0;18.65;0.2
2021-07-19 17:21:33.025807;934.0997776443335;25.0;17.0;18.67;0.2
2021-07-19 17:36:33.026116;934.2049750524628;35.0;18.0;18.66;0.2
2021-07-19 17:51:33.026624;934.455704998258;31.0;18.0;19.0;0.2
2021-07-19 18:06:33.026226;934.5573443054338;33.0;18.0;19.15;0.2
2021-07-19 18:21:33.026596;934.6816458275512;34.0;18.0;19.04;0.2
2021-07-19 18:36:33.026392;934.8693101838358;36.0;18.0;18.94;0.2
2021-07-19 18:51:33.026397;935.1206417113306;38.0;18.0;18.87;0.2
2021-07-19 19:06:33.026353;935.0775880331729;36.0;18.0;18.79;0.2
2021-07-19 19:21:33.026672;935.3168033966543;37.0;18.0;18.79;0.2
2021-07-19 19:36:33.026671;935.4887816595091;38.0;18.0;18.72;0.2
2021-07-19 19:51:33.025654;935.9121589640105;38.0;18.0;18.75;0.2
2021-07-19 20:06:33.025807;935.8292339996375;39.0;18.0;18.76;0.2
2021-07-19 20:21:33.026528;935.9446286866266;41.0;18.0;18.91;0.2
2021-07-19 20:36:33.026411;936.0904018635601;40.0;18.0;18.75;0.2
2021-07-19 20:51:33.026395;936.0930296916689;41.0;18.0;18.69;0.2
2021-07-19 21:06:33.026647;936.2296914688105;42.0;18.0;18.65;0.2
2021-07-19 21:21:33.026911;936.4259782429707;41.0;17.0;18.59;0.2
2021-07-19 21:36:33.026198;936.2207302297836;41.0;17.0;18.55;0.2
2021-07-19 21:51:33.026549;936.3193486123605;41.0;17.0;18.53;0.2
2021-07-19 22:06:33.025635;936.3000376958004;43.0;17.0;18.5;0.2
2021-07-19 22:21:33.026503;936.2557314998908;42.0;17.0;18.48;0.2
2021-07-19 22:36:33.025715;936.2441691753249;43.0;17.0;18.44;0.2
2021-07-19 22:51:33.026661;936.0819601645373;43.0;17.0;18.41;0.2
2021-07-19 23:06:33.026596;935.933742484857;43.0;17.0;18.39;0.2
2021-07-19 23:21:33.028441;936.1467232128899;44.0;17.0;18.36;0.2
2021-07-19 23:36:33.026778;935.6999989661189;45.0;17.0;18.31;0.2
2021-07-19 23:51:33.027730;935.5236397408116;45.0;17.0;18.29;0.2
