Data;Pressao;Umidade;Temperatura1;Temperatura2;Precipitaçao
2021-07-10 00:07:05.263672;934.8868923931063;81.0;18.0;19.06;0.0
2021-07-10 00:17:06.501398;934.9794791268368;81.0;18.0;19.02;0.0
2021-07-10 00:27:07.658335;934.9299538947803;80.0;17.0;19.01;0.0
2021-07-10 00:37:08.818902;934.9729933490403;80.0;17.0;18.99;0.0
2021-07-10 00:47:09.976743;934.9172822854853;80.0;17.0;18.96;0.0
2021-07-10 00:57:11.138381;934.912018222858;80.0;17.0;18.97;0.0
2021-07-10 01:07:12.300941;934.8965344774713;81.0;18.0;18.98;0.0
2021-07-10 01:17:13.466340;934.8408431148381;87.0;18.0;18.9;0.0
2021-07-10 01:27:14.632477;934.9241010554116;80.0;17.0;18.83;0.0
2021-07-10 01:37:15.755603;934.7891661755908;80.0;17.0;18.81;0.0
2021-07-10 01:47:16.907701;934.806179209061;81.0;17.0;18.76;0.0
2021-07-10 01:57:18.065465;934.7971988173337;80.0;17.0;18.74;0.0
2021-07-10 02:07:19.225553;934.5855386489296;80.0;17.0;18.69;0.0
2021-07-10 02:17:20.384994;934.6610318854869;80.0;17.0;18.68;0.0
2021-07-10 02:27:21.522340;934.4936323263769;80.0;17.0;18.62;0.0
2021-07-10 02:37:22.664676;934.441650468811;80.0;17.0;18.59;0.0
2021-07-10 02:47:23.810579;934.3652294907647;80.0;17.0;18.56;0.0
2021-07-10 02:57:27.495183;934.2003451682262;80.0;17.0;18.54;0.0
2021-07-10 03:07:28.654733;934.0224799071198;83.0;17.0;18.52;0.0
2021-07-10 03:17:29.811167;933.9785579814835;80.0;17.0;18.5;0.0
2021-07-10 03:27:30.967668;933.9290663485451;80.0;17.0;18.51;0.0
2021-07-10 03:37:32.122452;934.0082520196521;80.0;17.0;18.5;0.0
2021-07-10 03:47:33.269427;933.9745344607823;79.0;17.0;18.52;0.0
2021-07-10 03:57:34.428818;933.9794843337648;78.0;17.0;18.52;0.0
2021-07-10 04:07:35.555719;933.8007153752058;78.0;17.0;18.45;0.0
2021-07-10 04:17:36.681823;933.7836993090953;78.0;17.0;18.47;0.0
2021-07-10 04:27:37.814989;933.7032933689521;78.0;17.0;18.44;0.0
2021-07-10 04:37:38.949170;933.6838121274383;78.0;17.0;18.43;0.0
