Data;Pressao;Umidade;Temperatura1;Temperatura2;Precipitaçao
2021-07-28 00:08:29.180561;929.029227785361;73.0;21.0;21.78;1.2
2021-07-28 00:23:29.179191;929.1817964414169;74.0;21.0;21.63;1.2
2021-07-28 00:38:29.179793;929.2676710160918;76.0;21.0;21.6;1.2
2021-07-28 00:53:29.180574;929.2806182567897;75.0;21.0;21.49;1.2
2021-07-28 01:08:29.180716;929.4897236480123;77.0;21.0;21.42;1.2
2021-07-28 01:23:29.180269;929.1499831009407;78.0;21.0;21.38;1.2
2021-07-28 01:38:29.180613;929.0261064249805;78.0;21.0;21.33;1.2
2021-07-28 01:53:29.180649;928.8092280098539;77.0;20.0;21.28;1.2
2021-07-28 02:08:29.180563;928.7719371132453;78.0;20.0;21.25;1.2
2021-07-28 02:23:29.179636;928.8784471534647;77.0;20.0;21.22;1.2
2021-07-28 02:38:29.179820;928.8551174109544;77.0;20.0;21.2;1.2
2021-07-28 02:53:29.179963;928.8840657007263;76.0;20.0;21.08;1.2
2021-07-28 03:08:29.180636;928.9492763321823;76.0;20.0;21.08;1.2
2021-07-28 03:23:29.180526;928.8829442003303;75.0;20.0;21.02;1.2
2021-07-28 03:38:29.182685;929.0170485464305;75.0;20.0;20.91;1.2
2021-07-28 03:53:29.180320;928.8807807797473;75.0;20.0;20.88;1.2
2021-07-28 04:08:29.180651;929.0769414440451;75.0;20.0;20.79;1.2
2021-07-28 04:23:29.180550;929.3712746306427;76.0;20.0;20.68;1.2
2021-07-28 04:38:29.179827;929.3582404591896;75.0;20.0;20.68;1.2
2021-07-28 04:53:29.179391;929.7791277525976;75.0;20.0;20.55;1.2
2021-07-28 05:08:29.180865;929.3601567472481;75.0;20.0;20.52;1.2
2021-07-28 05:23:29.180481;929.3168275303296;74.0;20.0;20.45;1.2
2021-07-28 05:38:29.180682;929.4047396174632;74.0;19.0;20.36;1.2
2021-07-28 05:53:29.179928;929.7912084090957;73.0;19.0;20.31;1.2
2021-07-28 06:08:29.180037;929.5079637056126;73.0;19.0;20.27;1.2
2021-07-28 06:23:29.180674;929.6175095572597;73.0;19.0;20.27;1.2
2021-07-28 06:38:29.180457;929.4591990832963;74.0;19.0;20.23;1.2
2021-07-28 06:53:29.179685;929.8438533777453;74.0;19.0;20.13;1.2
2021-07-28 07:08:29.180693;930.136903075979;73.0;19.0;20.05;1.2
2021-07-28 07:23:29.180578;930.0149885850014;72.0;19.0;20.03;1.2
2021-07-28 07:38:29.180152;930.2509854704779;73.0;19.0;20.0;1.2
2021-07-28 07:53:29.180544;930.3403522299533;73.0;19.0;19.97;1.2
2021-07-28 08:08:29.180574;930.2885832181256;73.0;19.0;20.32;1.2
2021-07-28 08:23:29.180574;930.3649025248347;72.0;19.0;20.2;1.2
2021-07-28 08:38:29.180815;930.6236282552262;72.0;19.0;20.16;1.2
2021-07-28 08:53:29.180204;930.6882726360021;72.0;19.0;20.1;1.2
2021-07-28 09:08:29.180677;930.516161950868;71.0;19.0;20.05;1.2
2021-07-28 09:23:29.179929;931.2780564398782;71.0;19.0;20.03;1.2
2021-07-28 09:38:29.180808;931.325625884352;71.0;19.0;19.99;1.2
2021-07-28 09:53:29.179643;930.8831863883997;71.0;19.0;19.96;1.2
2021-07-28 10:08:31.708889;930.953607533863;71.0;19.0;19.96;1.2
2021-07-28 10:23:29.180509;931.1815810617725;74.0;19.0;19.95;1.2
2021-07-28 10:38:29.180591;931.0404866497187;72.0;19.0;19.89;1.2
2021-07-28 10:53:29.180503;930.657844916754;72.0;19.0;19.96;1.2
2021-07-28 11:08:29.180637;930.9865488980913;72.0;19.0;19.77;1.2
2021-07-28 11:23:29.180510;930.7789559505862;72.0;19.0;19.6;1.2
2021-07-28 11:38:29.179193;930.8752434138187;72.0;18.0;19.51;1.2
2021-07-28 11:53:29.179144;930.9033031801673;72.0;18.0;19.45;1.2
2021-07-28 12:08:29.180602;930.5445765435742;72.0;18.0;19.42;1.2
2021-07-28 12:23:29.179764;930.240116594392;72.0;18.0;19.51;1.2
2021-07-28 12:38:29.180486;930.9048502956678;72.0;18.0;19.62;1.2
2021-07-28 12:53:29.180568;930.3017245581061;72.0;19.0;19.76;1.2
2021-07-28 13:08:29.180599;930.1576061616947;71.0;19.0;19.9;1.2
2021-07-28 13:23:31.708670;930.0005798628065;70.0;19.0;19.73;1.2
2021-07-28 13:38:29.181853;929.9721948323244;73.0;19.0;19.6;1.2
2021-07-28 13:53:29.180513;929.8508641747953;70.0;19.0;19.53;1.2
2021-07-28 14:08:29.180599;929.5853869328123;70.0;18.0;19.45;1.2
2021-07-28 14:23:29.180431;929.4561373162015;69.0;18.0;19.4;1.2
2021-07-28 14:38:29.179885;929.5838385465191;69.0;18.0;19.39;1.2
2021-07-28 14:53:29.180491;929.5466965122837;69.0;18.0;19.36;1.2
2021-07-28 15:08:29.180583;929.4771661633405;69.0;18.0;19.31;1.2
2021-07-28 15:23:29.180690;929.6143420171605;69.0;18.0;19.25;1.2
2021-07-28 15:38:29.180674;929.7003713916466;68.0;18.0;19.25;1.2
2021-07-28 15:53:29.180758;929.5936446897749;69.0;18.0;19.24;1.2
2021-07-28 16:08:29.182801;929.3821303165905;69.0;18.0;19.22;1.2
2021-07-28 16:23:31.710595;929.6724550663788;69.0;18.0;19.2;1.2
2021-07-28 16:38:29.180567;929.7414740798289;71.0;18.0;19.2;1.2
2021-07-28 16:53:29.180563;929.9579823721209;68.0;18.0;19.15;1.2
2021-07-28 17:08:29.179891;930.0906173805358;69.0;18.0;19.14;1.2
2021-07-28 17:23:29.180626;929.9579823721209;69.0;18.0;19.15;1.2
2021-07-28 17:38:29.180009;930.2310439658507;69.0;18.0;19.15;1.2
