Data;Pressao;Umidade;Temperatura1;Temperatura2;Precipitaçao
2021-07-27 00:08:29.180448;929.9050060433158;60.0;20.0;20.71;1.2
2021-07-27 00:23:29.180266;929.8886496756417;59.0;20.0;20.68;1.2
2021-07-27 00:38:29.180754;929.9428083212969;59.0;20.0;20.65;1.2
2021-07-27 00:53:29.176753;929.8716665866622;58.0;20.0;20.61;1.2
2021-07-27 01:08:29.180623;930.0210355307152;57.0;20.0;20.58;1.2
2021-07-27 01:23:29.179792;929.9862882716486;55.0;20.0;20.56;1.2
2021-07-27 01:38:29.180621;929.8814352394133;55.0;20.0;20.49;1.2
2021-07-27 01:53:29.180449;929.5910771150328;55.0;20.0;20.49;1.2
2021-07-27 02:08:29.180622;929.5099288201754;55.0;20.0;20.44;1.2
2021-07-27 02:23:29.180551;929.250385815974;54.0;20.0;20.39;1.2
2021-07-27 02:38:29.180609;929.174553109067;54.0;20.0;20.4;1.2
2021-07-27 02:53:29.179164;929.224329656416;56.0;20.0;20.39;1.2
2021-07-27 03:08:29.180715;929.1726259721273;55.0;19.0;20.3;1.2
2021-07-27 03:23:29.180616;929.123884727214;54.0;19.0;20.26;1.2
2021-07-27 03:38:29.180796;928.9278803441862;55.0;19.0;20.22;1.2
2021-07-27 03:53:29.179974;928.6680703303956;56.0;19.0;20.19;1.2
2021-07-27 04:08:29.180662;928.5459436272048;54.0;19.0;20.11;1.2
2021-07-27 04:23:29.180628;928.5406003380152;53.0;19.0;20.11;1.2
2021-07-27 04:38:31.708873;928.5953316556697;52.0;19.0;20.12;1.2
2021-07-27 04:53:29.180098;928.6117218594579;54.0;19.0;20.08;1.2
2021-07-27 05:08:29.180713;928.7018806172408;52.0;19.0;20.07;1.2
2021-07-27 05:23:29.180556;928.6982406302097;52.0;19.0;20.04;1.2
2021-07-27 05:38:29.180914;928.6381442410609;52.0;19.0;19.99;1.2
2021-07-27 05:53:29.179408;928.7403031571447;52.0;19.0;19.96;1.2
2021-07-27 06:08:31.708341;928.8033920071542;52.0;19.0;19.92;1.2
2021-07-27 06:23:29.180008;928.8023874463004;55.0;19.0;19.91;1.2
2021-07-27 06:38:29.180524;928.9372194513992;52.0;19.0;19.86;1.2
2021-07-27 06:53:29.180556;928.8524439354845;53.0;19.0;19.87;1.2
2021-07-27 07:08:29.180689;928.878147360188;54.0;19.0;19.9;1.2
2021-07-27 07:23:29.180727;929.0146701848273;53.0;19.0;19.91;1.2
2021-07-27 07:38:29.180556;929.1071342310134;53.0;19.0;19.9;1.2
2021-07-27 07:53:29.180667;929.1285241836798;52.0;19.0;19.95;1.2
2021-07-27 08:08:29.180316;929.2805387625144;53.0;19.0;20.24;1.2
2021-07-27 08:23:29.180432;929.3129272184265;53.0;20.0;20.25;1.2
2021-07-27 08:38:29.179255;929.3907320159832;52.0;19.0;20.27;1.2
2021-07-27 08:53:29.180300;929.4962819817825;53.0;19.0;20.33;1.2
2021-07-27 09:08:29.180505;929.4134159201144;53.0;20.0;20.38;1.2
2021-07-27 09:23:29.179100;929.4244302413708;52.0;20.0;20.41;1.2
2021-07-27 09:38:29.179831;929.3438709260316;52.0;20.0;20.47;1.2
2021-07-27 09:53:29.180313;929.3481064147605;52.0;20.0;20.54;1.2
2021-07-27 10:08:29.179881;929.4316412732348;52.0;20.0;20.53;1.2
2021-07-27 10:23:29.180280;929.2278084007775;52.0;20.0;20.55;1.2
2021-07-27 10:38:29.180480;929.1502075011359;52.0;20.0;20.59;1.2
2021-07-27 10:53:29.180494;928.9028538939257;52.0;20.0;20.63;1.2
2021-07-27 11:08:29.180536;928.697190111124;52.0;20.0;20.69;1.2
2021-07-27 11:23:29.180691;928.6074295964837;53.0;20.0;20.74;1.2
2021-07-27 11:38:29.180587;928.4840172224706;53.0;20.0;20.77;1.2
2021-07-27 11:53:29.179745;928.3662608656771;52.0;20.0;20.8;1.2
2021-07-27 12:08:29.179281;928.1851682530416;53.0;20.0;20.86;1.2
2021-07-27 12:23:29.180633;927.8103059456689;53.0;20.0;20.88;1.2
2021-07-27 12:38:29.179415;927.7219025880294;53.0;20.0;20.98;1.2
2021-07-27 12:53:29.180587;927.3743953162215;54.0;21.0;21.11;1.2
2021-07-27 13:08:31.708067;927.2906260909273;53.0;21.0;21.18;1.2
2021-07-27 13:23:29.179516;927.1556878739012;55.0;21.0;21.2;1.2
2021-07-27 13:38:31.708765;926.9555475897787;53.0;21.0;21.26;1.2
2021-07-27 13:53:29.180152;926.8274464242568;55.0;21.0;21.34;1.2
2021-07-27 14:08:29.180612;926.6008174082341;53.0;21.0;21.47;1.2
2021-07-27 14:23:29.180592;926.5684793785764;52.0;21.0;21.46;1.2
2021-07-27 14:38:29.180695;926.3131004850338;52.0;21.0;21.53;1.2
2021-07-27 14:53:31.708778;926.3000501042472;53.0;21.0;21.53;1.2
2021-07-27 15:08:29.181793;925.9254805628353;54.0;21.0;21.58;1.2
2021-07-27 15:23:29.180568;925.7688675410841;52.0;21.0;21.58;1.2
2021-07-27 15:38:29.180669;925.6122553682476;53.0;21.0;21.58;1.2
2021-07-27 15:53:29.180611;925.4157323226103;53.0;21.0;21.65;1.2
2021-07-27 16:08:29.180962;925.2653126515658;53.0;21.0;21.66;1.2
2021-07-27 16:23:29.179685;925.3528664617959;52.0;21.0;21.7;1.2
2021-07-27 16:38:29.180627;925.5991412038892;52.0;21.0;21.7;1.2
2021-07-27 16:53:29.180629;925.5884909717732;53.0;21.0;21.76;1.2
2021-07-27 17:08:29.180500;925.4619197217008;51.0;21.0;21.76;1.2
2021-07-27 17:23:29.180807;925.4573034016668;51.0;21.0;21.78;1.2
2021-07-27 17:38:29.181720;925.4388364058989;51.0;21.0;21.78;1.2
2021-07-27 17:53:29.180437;925.5424800704967;52.0;21.0;21.85;1.2
2021-07-27 18:08:29.181033;925.5711663857545;52.0;21.0;22.07;1.2
2021-07-27 18:23:31.709170;925.6350278892588;55.0;22.0;22.08;1.2
2021-07-27 18:38:29.180840;925.7157377189687;56.0;22.0;22.13;1.2
2021-07-27 18:53:29.180698;925.5626723688017;55.0;21.0;21.92;1.2
2021-07-27 19:08:29.180902;925.9259011922945;55.0;21.0;21.87;1.2
2021-07-27 19:23:29.180725;926.6968855609598;56.0;21.0;21.85;1.2
2021-07-27 19:38:29.180758;926.9003954959726;58.0;21.0;21.85;1.2
2021-07-27 19:53:29.179575;927.1899109230931;63.0;21.0;21.86;1.2
2021-07-27 20:08:29.182706;926.9889525682573;64.0;21.0;21.87;1.2
2021-07-27 20:23:29.180729;927.6094753545974;67.0;21.0;21.85;1.2
2021-07-27 20:38:29.180643;928.023335303464;67.0;21.0;21.85;1.2
2021-07-27 20:53:29.180403;928.1269340010584;66.0;21.0;21.83;1.2
2021-07-27 21:08:29.180563;928.2912623381857;68.0;21.0;21.8;1.2
2021-07-27 21:23:29.175251;927.7550862045431;68.0;21.0;21.78;1.2
2021-07-27 21:38:29.180000;927.6821446189133;67.0;21.0;21.78;1.2
2021-07-27 21:53:29.179352;927.6503377091549;67.0;21.0;21.74;1.2
2021-07-27 22:08:29.179301;927.7632963773332;68.0;21.0;21.72;1.2
2021-07-27 22:23:29.180529;928.073826354765;69.0;21.0;21.78;1.2
2021-07-27 22:38:29.180416;929.212023280354;68.0;21.0;21.78;1.2
2021-07-27 22:53:29.180593;929.4146497193407;70.0;21.0;21.77;1.2
2021-07-27 23:08:29.180421;928.7847646269153;71.0;21.0;21.75;1.2
2021-07-27 23:23:29.180729;928.0567848550443;73.0;21.0;21.77;1.2
2021-07-27 23:38:31.708867;928.0587807920009;74.0;21.0;22.19;1.2
2021-07-27 23:53:29.179908;928.8378436409813;75.0;21.0;21.91;1.2
