Data;Pressao;Umidade;Temperatura1;Temperatura2;Precipitaçao
2021-07-16 00:06:12.608765;929.6410543056974;63.0;20.0;21.12;0.4
2021-07-16 00:16:13.743990;929.673870494698;64.0;20.0;21.11;0.4
2021-07-16 00:26:14.890938;929.5662574066902;64.0;20.0;21.08;0.4
2021-07-16 00:36:16.023988;929.5543521506141;64.0;20.0;21.03;0.4
2021-07-16 00:46:17.155941;929.7609382508473;64.0;20.0;21.06;0.4
2021-07-16 00:56:18.305597;929.8415151346511;64.0;20.0;21.07;0.4
2021-07-16 01:06:21.994528;929.8549612970866;63.0;20.0;21.05;0.4
2021-07-16 01:16:25.670053;929.6951785052728;63.0;20.0;21.02;0.4
2021-07-16 01:26:26.826863;929.744059148946;65.0;20.0;20.99;0.4
2021-07-16 01:36:27.983585;929.7745354809812;64.0;20.0;20.97;0.4
2021-07-16 01:46:29.144913;929.7986853650339;64.0;20.0;20.94;0.4
2021-07-16 01:56:30.305972;929.9301632096415;65.0;20.0;20.89;0.4
2021-07-16 02:06:31.454313;929.8490132174062;65.0;20.0;20.84;0.4
2021-07-16 02:16:32.600569;929.7982205727535;65.0;20.0;20.83;0.4
2021-07-16 02:26:33.778466;929.8182754600367;66.0;20.0;20.82;0.4
2021-07-16 02:36:34.929788;929.8817976927212;66.0;20.0;20.83;0.4
2021-07-16 02:46:36.076414;929.9045617303918;65.0;20.0;20.8;0.4
2021-07-16 02:56:37.228600;929.8788649949304;66.0;20.0;20.77;0.4
2021-07-16 03:06:38.389474;930.0239248790745;66.0;20.0;20.77;0.4
2021-07-16 03:16:39.541096;929.9303364369661;66.0;20.0;20.76;0.4
2021-07-16 03:26:40.700667;930.1362660693017;66.0;20.0;20.75;0.4
2021-07-16 03:36:41.861123;929.9427586368485;66.0;20.0;20.72;0.4
2021-07-16 03:46:43.019483;929.9939124101802;66.0;20.0;20.7;0.4
2021-07-16 03:56:44.187440;930.0483905118307;66.0;20.0;20.71;0.4
2021-07-16 04:06:45.353800;930.0136458911194;66.0;19.0;20.69;0.4
2021-07-16 04:16:46.514837;930.1048876227288;66.0;19.0;20.69;0.4
2021-07-16 04:26:47.676440;930.0310380974619;66.0;19.0;20.66;0.4
2021-07-16 04:36:48.838529;929.9498642587786;66.0;19.0;20.61;0.4
2021-07-16 04:46:50.001083;929.7951273520345;66.0;19.0;20.6;0.4
2021-07-16 04:56:51.153681;929.5709291155006;66.0;19.0;20.59;0.4
2021-07-16 05:06:52.313489;929.7935084585665;66.0;19.0;20.55;0.4
2021-07-16 05:16:53.474740;929.7443883900355;67.0;19.0;20.53;0.4
2021-07-16 05:26:54.635590;929.6257572892786;67.0;19.0;20.54;0.4
2021-07-16 05:36:55.796907;929.9946740546127;67.0;19.0;20.52;0.4
2021-07-16 05:46:56.949261;930.1640776377956;67.0;19.0;20.52;0.4
2021-07-16 05:56:58.095996;930.2282273973447;67.0;19.0;20.5;0.4
2021-07-16 06:06:59.214443;930.457769103587;67.0;19.0;20.48;0.4
2021-07-16 06:17:00.366649;930.6218279044915;68.0;19.0;20.48;0.4
2021-07-16 06:27:01.510281;930.6545632591431;68.0;19.0;20.47;0.4
2021-07-16 06:37:02.631905;930.4674310810833;68.0;19.0;20.45;0.4
2021-07-16 06:47:03.745004;930.4206498089859;68.0;19.0;20.45;0.4
2021-07-16 06:57:04.881394;930.5518883196369;68.0;19.0;20.4;0.4
2021-07-16 07:07:08.553058;930.784767421714;69.0;19.0;20.41;0.4
2021-07-16 07:17:09.690291;930.8706374115857;71.0;19.0;20.41;0.4
2021-07-16 07:27:10.835447;930.7994370667933;70.0;19.0;20.4;0.4
2021-07-16 07:37:11.963824;930.9387537765701;71.0;19.0;20.4;0.4
2021-07-16 07:47:13.109976;931.1649793899363;71.0;19.0;20.42;0.4
2021-07-16 07:57:14.244701;931.3678357421242;72.0;19.0;20.44;0.4
