Data;Pressao;Umidade;Temperatura1;Temperatura2;Precipitaçao
2021-07-25 00:08:29.180627;934.4555291418769;70.0;18.0;19.4;0.0
2021-07-25 00:23:29.180444;934.5222707557292;70.0;18.0;19.34;0.0
2021-07-25 00:38:29.179404;934.6657809930495;70.0;18.0;19.29;0.0
2021-07-25 00:53:29.180746;934.5527839366285;70.0;18.0;19.27;0.0
2021-07-25 01:08:29.181056;934.5686572601269;70.0;18.0;19.23;0.0
2021-07-25 01:23:29.179913;934.3504199313509;70.0;18.0;19.19;0.0
2021-07-25 01:38:29.180768;934.223238948435;70.0;18.0;19.15;0.0
2021-07-25 01:53:29.180461;934.2521159835088;70.0;18.0;19.12;0.0
2021-07-25 02:08:29.180818;934.2976978302224;70.0;18.0;19.08;0.0
2021-07-25 02:23:29.180671;934.0691341451916;70.0;18.0;19.24;0.0
2021-07-25 02:38:29.180785;934.0202121366297;70.0;18.0;19.34;0.0
2021-07-25 02:53:29.179831;934.0515098401867;69.0;18.0;19.33;0.0
2021-07-25 03:08:29.182081;933.9502027088736;70.0;18.0;19.13;0.0
2021-07-25 03:23:29.180749;933.7320944249985;70.0;18.0;19.07;0.0
2021-07-25 03:38:29.181028;933.4960482278634;70.0;18.0;19.01;0.0
2021-07-25 03:53:29.180781;933.3111976164976;70.0;18.0;19.02;0.0
2021-07-25 04:08:29.180642;933.1325561846818;70.0;18.0;18.93;0.0
2021-07-25 04:23:29.180638;933.1172558270036;71.0;18.0;18.87;0.0
2021-07-25 04:38:29.180814;933.1499178660167;71.0;18.0;18.81;0.0
2021-07-25 04:53:29.180640;933.2323435179227;71.0;18.0;18.77;0.0
2021-07-25 05:08:29.180859;933.2271272557869;71.0;18.0;18.75;0.0
2021-07-25 05:23:29.180125;933.1690366943137;71.0;18.0;18.71;0.0
2021-07-25 05:38:29.182070;933.2616118290804;71.0;18.0;18.68;0.0
2021-07-25 05:53:29.179451;933.5422931885089;70.0;18.0;18.63;0.0
2021-07-25 06:08:29.180643;933.869949402879;70.0;18.0;18.59;0.0
2021-07-25 06:23:29.180497;933.859749166203;70.0;18.0;18.58;0.0
2021-07-25 06:38:29.180615;933.9742202506405;69.0;18.0;18.55;0.0
2021-07-25 06:53:29.179861;934.1016662376767;69.0;18.0;18.51;0.0
2021-07-25 07:08:29.180662;934.1604347279322;68.0;17.0;18.5;0.0
2021-07-25 07:23:29.180713;934.2133323947915;67.0;17.0;18.52;0.0
2021-07-25 07:38:29.180823;934.2535493099973;67.0;17.0;18.53;0.0
2021-07-25 07:53:29.180980;934.305528742231;68.0;18.0;18.58;0.0
2021-07-25 08:08:29.182612;934.5221086581805;68.0;18.0;18.68;0.0
2021-07-25 08:23:29.180197;934.7947098493071;68.0;18.0;18.7;0.0
2021-07-25 08:38:29.180534;934.9113991126751;68.0;18.0;18.78;0.0
2021-07-25 08:53:29.180561;935.1283456082654;68.0;18.0;18.8;0.0
2021-07-25 09:08:29.181024;935.3766026872245;68.0;18.0;18.86;0.0
2021-07-25 09:23:29.179848;935.6545914687678;68.0;18.0;18.91;0.0
2021-07-25 09:38:29.180612;935.4503437290338;68.0;18.0;18.98;0.0
2021-07-25 09:53:29.180715;935.477302309688;67.0;18.0;19.08;0.0
2021-07-25 10:08:29.180929;935.5797911842798;67.0;18.0;19.11;0.0
2021-07-25 10:23:29.180965;935.7559954012997;67.0;18.0;19.21;0.0
2021-07-25 10:38:29.182704;935.6652591737799;64.0;18.0;19.16;0.0
2021-07-25 10:53:29.180654;935.5497580057483;65.0;18.0;19.15;0.0
2021-07-25 11:08:29.180669;935.258013513881;66.0;18.0;19.23;0.0
2021-07-25 11:23:29.180340;934.9235496912173;65.0;18.0;19.24;0.0
2021-07-25 11:38:29.180734;934.9048873652564;65.0;18.0;19.29;0.0
2021-07-25 11:53:29.180242;934.537672705586;64.0;18.0;19.38;0.0
2021-07-25 12:08:29.180589;934.3994696527574;64.0;19.0;19.4;0.0
2021-07-25 12:23:29.180408;934.1887869186653;62.0;19.0;19.41;0.0
2021-07-25 12:38:31.708657;933.7566116203166;60.0;19.0;19.43;0.0
2021-07-25 12:53:31.709371;933.4869962460488;59.0;19.0;19.45;0.0
2021-07-25 13:08:29.182785;933.0991079413175;61.0;19.0;19.46;0.0
2021-07-25 13:23:29.179800;932.9327037571435;58.0;19.0;19.47;0.0
2021-07-25 13:38:29.180676;932.6510382182793;56.0;19.0;19.77;0.2
2021-07-25 13:53:29.180112;932.4590370625936;57.0;19.0;20.03;0.2
2021-07-25 14:08:31.708833;932.2457266145013;57.0;19.0;19.92;0.2
2021-07-25 14:23:29.180798;932.0544720502539;59.0;19.0;19.81;0.2
2021-07-25 14:38:31.708179;931.8978805136892;50.0;19.0;19.74;0.2
2021-07-25 14:53:29.180010;931.6691125911473;52.0;19.0;19.71;0.2
2021-07-25 15:08:29.180846;931.6276702163428;51.0;19.0;19.7;0.2
2021-07-25 15:23:29.180775;931.5468765295685;50.0;19.0;19.69;0.2
2021-07-25 15:38:29.180714;931.4818032103369;49.0;19.0;19.69;0.2
2021-07-25 15:53:29.180558;931.4401515405827;49.0;19.0;19.71;0.2
2021-07-25 16:08:29.180706;931.4311428903826;49.0;19.0;19.71;0.2
2021-07-25 16:23:29.180524;931.4478560440798;49.0;19.0;19.71;0.2
2021-07-25 16:38:29.180549;931.5411439657505;49.0;19.0;19.75;0.2
2021-07-25 16:53:29.180673;931.4800714316848;49.0;19.0;19.75;0.2
2021-07-25 17:08:29.180399;931.3860402537518;49.0;19.0;19.76;0.2
2021-07-25 17:23:29.182917;931.3597843160653;49.0;19.0;19.79;0.2
2021-07-25 17:38:29.179955;931.5352695005294;50.0;19.0;19.98;0.2
2021-07-25 17:53:29.180670;931.5892033475737;52.0;19.0;19.95;0.2
2021-07-25 18:08:29.180908;931.7148460916869;53.0;19.0;19.91;0.2
2021-07-25 18:23:29.180414;931.8840957435049;53.0;19.0;19.91;0.2
2021-07-25 18:38:29.179973;931.9699187167099;54.0;19.0;19.91;0.2
2021-07-25 18:53:29.180934;932.1973482318981;55.0;19.0;19.92;0.2
2021-07-25 19:08:29.180215;932.2349006580615;55.0;19.0;19.95;0.2
2021-07-25 19:23:29.180920;932.3247276189988;56.0;19.0;20.14;0.2
2021-07-25 19:38:29.181074;932.4000582379424;56.0;20.0;20.25;0.2
2021-07-25 19:53:29.181604;932.4769916548635;57.0;20.0;20.35;0.2
2021-07-25 20:08:29.180232;932.6634053157014;58.0;20.0;20.42;0.2
2021-07-25 20:23:29.180064;932.7129039730422;57.0;20.0;20.43;0.2
2021-07-25 20:38:29.179860;932.7901195533665;58.0;20.0;20.3;0.2
2021-07-25 20:53:29.180621;932.8224356720552;58.0;20.0;20.22;0.2
2021-07-25 21:08:29.180634;932.9326695654195;58.0;19.0;20.17;0.2
2021-07-25 21:23:29.179889;932.8523185515133;58.0;19.0;20.13;0.2
2021-07-25 21:38:29.180675;932.7991207597105;58.0;19.0;20.11;0.2
2021-07-25 21:53:29.180571;932.8944945160634;59.0;19.0;20.09;0.2
2021-07-25 22:08:29.180849;932.9991801422575;59.0;19.0;20.07;0.2
2021-07-25 22:23:29.180710;932.9784425085975;59.0;19.0;20.06;0.2
2021-07-25 22:38:29.180697;932.9070993193186;60.0;19.0;20.03;0.2
2021-07-25 22:53:29.180607;932.8812418040546;60.0;19.0;20.0;0.2
2021-07-25 23:08:29.180719;932.8360680088134;60.0;19.0;19.99;0.2
2021-07-25 23:23:31.708763;932.7568313345904;61.0;19.0;19.97;0.2
2021-07-25 23:38:31.708999;932.6829057782497;61.0;19.0;19.95;0.2
2021-07-25 23:53:29.180662;932.8210076416644;63.0;19.0;19.93;0.2
