Data;Pressao;Umidade;Temperatura1;Temperatura2;Precipitaçao
2021-08-18 00:00:23.225065;931.940413786951;90.0;19.0;19.65;0.2
2021-08-18 00:15:23.225248;931.696251364731;90.0;19.0;19.61;0.2
2021-08-18 00:30:23.225193;931.6161632601221;90.0;19.0;19.55;0.2
2021-08-18 00:45:23.224955;931.5906406416457;90.0;19.0;19.53;0.2
2021-08-18 01:00:23.225274;931.4009743690139;90.0;19.0;19.5;0.2
2021-08-18 01:15:23.225245;931.2426492501713;90.0;19.0;19.47;0.2
2021-08-18 01:30:25.752597;931.028090555001;90.0;19.0;19.45;0.2
2021-08-18 01:45:23.225276;930.847261005798;90.0;19.0;19.45;0.2
2021-08-18 02:00:23.225373;930.7776416319088;90.0;19.0;19.4;0.2
2021-08-18 02:15:23.225144;930.6297662167356;90.0;19.0;19.38;0.2
2021-08-18 02:30:23.225132;930.5702511720939;90.0;19.0;19.35;0.2
2021-08-18 02:45:23.225109;930.5248338941826;90.0;19.0;19.34;0.2
2021-08-18 03:00:23.225078;930.3392631983745;90.0;19.0;19.31;0.2
2021-08-18 03:15:23.224281;930.2954648626566;90.0;19.0;19.29;0.2
2021-08-18 03:30:23.225059;930.2434412695111;90.0;19.0;19.29;0.2
2021-08-18 03:45:25.751540;930.1383131662228;90.0;19.0;19.28;0.2
2021-08-18 04:00:23.225249;930.1927239119241;90.0;18.0;19.29;0.2
2021-08-18 04:15:23.225411;930.0809821004801;90.0;19.0;19.28;0.2
2021-08-18 04:30:23.225148;930.2760661511509;90.0;18.0;19.28;0.2
2021-08-18 04:45:23.225269;930.3697130004352;90.0;18.0;19.27;0.2
2021-08-18 05:00:23.224273;930.4310443622915;90.0;18.0;19.26;0.2
2021-08-18 05:15:23.225328;930.6226322772891;90.0;18.0;19.24;0.2
2021-08-18 05:30:23.225130;930.6199271442297;90.0;18.0;19.23;0.2
2021-08-18 05:45:23.225079;930.7369695485182;90.0;18.0;19.23;0.2
2021-08-18 06:00:25.752298;930.7594764079655;90.0;18.0;19.2;0.2
2021-08-18 06:15:23.223855;930.738165198825;90.0;18.0;19.15;0.2
2021-08-18 06:30:23.224246;930.7471631382592;90.0;18.0;19.15;0.2
2021-08-18 06:45:23.225194;930.8315907063948;90.0;18.0;19.16;0.2
2021-08-18 07:00:23.225198;931.0202310875367;90.0;18.0;19.15;0.2
2021-08-18 07:15:23.225086;930.982513782537;90.0;18.0;19.14;0.2
2021-08-18 07:30:23.224527;931.1463481363431;90.0;18.0;19.26;0.2
2021-08-18 07:45:23.225367;931.209405624049;90.0;19.0;19.32;0.2
2021-08-18 08:00:23.225262;931.5088319215131;91.0;19.0;19.41;0.2
2021-08-18 08:15:23.225355;931.4487816763592;91.0;19.0;19.41;0.2
2021-08-18 08:30:23.225232;931.4993367650205;91.0;19.0;19.44;0.2
2021-08-18 08:45:23.225234;931.524671368527;90.0;19.0;19.49;0.2
2021-08-18 09:00:23.225261;931.5635128183297;90.0;19.0;19.51;0.2
2021-08-18 09:15:23.225529;931.6687088794549;90.0;19.0;19.53;0.2
2021-08-18 09:30:23.225185;931.6942345910389;90.0;19.0;19.55;0.2
2021-08-18 09:45:23.225218;931.6205725089768;90.0;19.0;19.62;0.2
2021-08-18 10:00:23.225108;931.7030530934529;90.0;19.0;19.69;0.2
2021-08-18 10:15:23.225114;932.099911849001;90.0;19.0;19.7;0.2
2021-08-18 10:30:23.225236;932.6468837194657;90.0;19.0;19.65;0.2
2021-08-18 10:45:23.224396;932.3308377785311;89.0;19.0;19.65;0.2
2021-08-18 11:00:23.225242;931.550673489387;89.0;19.0;19.72;0.2
